»ÌselnÌk SC_T_PRVKU_P_DAT;;;;;;;;;;;;;;;;;
;;;;;;;;V˝znam: vrstva, barva, typ, tkouöùka, v˝öka textu, font, vzt. bod, öÌ¯ka textu;;;;;;;;;
;;;;;;;;ZruöenÈ prvky-minulost;Tisk·rna, plotr;Obrazovka;;;;;;;
KOD;SKUP_KOD;CLEN_KOD;TUM_KOD;POLOHOPIS;EDITOVATELNY;PLATNOST_OD;VYZNAM;MINULY_STAV;PRITOMNY_STAV;BUDOUCI_STAV;PRISLUSNOST;KRIVKA;TYP_PRVKU;PLATNOST_DO;;;Blok NVF
104;7;53;0;a;n;1.1.1998;Stabilizovan˝ bod technickÈ nivelace;8 146 1 0 1.04;8 0 1 0 1.04;8 2 1 0 1.04;n;n;7;;;;OBBP, SOBR
105;7;54;0;a;n;1.1.1998;HraniËnÌ znak;8 146 1 0 1.05;8 0 1 0 1.05;8 2 1 0 1.05;n;n;7;;;;DPM, SOBR
1016;7;55;0;n;a;1.1.1998;»Ìslo bodu bodovÈho pole;8 147 0 0 1.7 1 9 1.19;8 0 0 0 1.7 1 9 1.19;8 2 0 0 1.7 1 9 1.19;n;n;4;;;;OBBP
1027;7;56;0;n;a;1.1.1998;»Ìslo hraniËnÌho znaku na st·tnÌ hranici;8 162 0 0 1.7 1 9 1.19;8 0 0 0 1.7 1 9 1.19;8 18 0 0 1.7 1 9 1.19;n;n;4;;;;
1001;8;57;0;n;a;1.1.1998;N·zev mÏsta;7 151 2 0 8.5 1 2 5.95;7 0 2 0 8.5 1 2 5.95;7 5 2 0 8.5 1 2 5.95;n;n;4;;;;DPM
1002;8;58;0;n;a;1.1.1998;N·zev mÏstskÈho obvodu nebo Ë·sti;7 151 2 0 5.0 1 2 3.5;7 0 2 0 5.0 1 2 3.5;7 5 2 0 5.0 1 2 3.5;n;n;4;;;;DPM
1004;8;59;0;n;a;1.1.1998;N·zev obce;7 151 2 0 6.7 1 2 4.69;7 0 2 0 6.7 1 2 4.69;7 5 2 0 6.7 1 2 4.69;n;n;4;;;;DPM
1005;8;60;0;n;a;1.1.1998;N·zev Ë·sti obce;7 151 2 0 4.4 1 2 3.08;7 0 2 0 4.4 1 2 3.08;7 5 2 0 4.4 1 2 3.08;n;n;4;;;;DPM
1007;8;61;0;n;a;1.1.1998;N·zev n·mÏstÌ, parku;7 151 0 0 2.3 1 2 1.61;7 0 0 0 2.3 1 2 1.61;7 5 0 0 2.3 1 2 1.61;n;n;4;;;;DPM
1008;8;62;0;n;a;1.1.1998;N·zev ulice;7 151 0 0 1.4 1 2 0.98;7 0 0 0 1.4 1 2 0.98;7 5 0 0 1.4 1 2 0.98;n;n;4;;;;DPM
1009;8;63;0;n;a;1.1.1998;N·zev pozemkovÈ tratÏ;7 151 1 0 4.4 1 2 3.08;7 0 1 0 4.4 1 2 3.08;7 5 1 0 4.4 1 2 3.08;n;n;4;;;;DPM
1010;8;64;0;n;a;1.1.1998;N·zev podruûnÈ pozemkovÈ tratÏ;7 151 1 0 2.9 1 2 2.03;7 0 1 0 2.9 1 2 2.03;7 5 1 0 2.9 1 2 2.03;n;n;4;;;;DPM
1012;8;65;0;n;a;1.1.1998;N·zev sousednÌho st·tu;7 151 2 0 8.5 1 2 5.95;7 0 1 0 8.5 1 2 5.95;7 5 2 0 8.5 1 2 5.95;n;n;4;;;;
1013;8;66;0;n;a;1.1.1998;N·zev ¯eky slouûÌcÌ k vodnÌ dopravÏ;7 197 1 0 4.4 1 2 3.08;7 0 1 0 4.4 1 2 3.08;7 53 1 0 4.4 1 2 3.08;n;n;4;;;;DPM
1014;8;67;0;n;a;1.1.1998;N·zev ¯eky, jezera, vel.rybnÌku, p¯ehrady;7 181 1 0 3.4 1 2 2.38;7 0 1 0 3.4 1 2 2.38;7 37 1 0 3.4 1 2 2.38;n;n;4;;;;DPM
1015;8;68;0;n;a;1.1.1998;N·zev potoka, rybnÌku;7 151 1 0 2.3 1 2 1.61;7 0 1 0 2.3 1 2 1.61;7 5 1 0 2.3 1 2 1.61;n;n;4;;;;DPM
408;8;69;0;n;a;1.1.1998;»·ra jako v˝plÚ schodiötÏ;7 144 0 0;7 0 0 0;7 4 0 0;n;a;1;;;;DPM, SBM
1060;8;215;0;n;a;1.1.1998;Symbol vodnÌho toku uûöÌho neû 2m;3 151 1 0 8.02;3 0 1 0 8.02;3 5 1 0 8.02;n;n;7;;;;
20600;9;74;0;a;n;1.1.1998;Hranice kat.˙zemÌ (bez znaËky);1 147 2 0;1 0 1 0;1 3 2 0;n;n;1;;;;HP, SBP, SOBR
20602;9;74;2;a;n;1.1.1998;Hranice kat.˙zemÌ (znaËka uprost¯ed);1 147 2 0 206;1 0 1 0 206;1 3 2 0 206;n;n;1;;;;HP, SBP, SOBR
20603;9;74;3;a;n;1.1.1998;Hranice kat.˙zemÌ (znaËka na zaË·tku);1 147 2 0 206 3.5;1 0 1 0 206 3.5;1 3 2 0 206 3.5;n;n;1;;;;HP, SBP, SOBR
20604;9;74;4;a;n;1.1.1998;Hranice kat.˙zemÌ (znaËka na konci);1 147 2 0 206 3.5;1 0 1 0 206 3.5;1 3 2 0 206 3.5;n;n;1;;;;HP, SBP, SOBR
20605;9;74;5;a;n;1.1.1998;Hranice kat.˙zemÌ (na obou koncÌch);1 147 2 0 206 3.5;1 0 1 0 206 3.5;1 3 2 0 206 3.5;n;n;1;;;;HP, SBP, SOBR
20610;9;75;0;a;n;1.1.1998;Hranice kat.˙zemÌ shora neviditeln· (bez znaËky);1 147 2 0.02;1 0 1 0.02;1 3 2 0.02;n;n;1;;;;HP, SBP, SOBR
20612;9;75;2;a;n;1.1.1998;Hranice kat.˙zemÌ shora neviditeln· (znaËka uprost¯ed);1 147 2 0.02 206;1 0 1 0.02 206;1 3 2 0.02 206;n;n;1;;;;HP, SBP, SOBR
20613;9;75;3;a;n;1.1.1998;Hranice kat.˙zemÌ shora neviditeln· (znaËka na zaË·tku);1 147 2 0.02 206 3.5;1 0 1 0.02 206 3.5;1 3 2 0.02 206 3.5;n;n;1;;;;HP, SBP, SOBR
20614;9;75;4;a;n;1.1.1998;Hranice kat.˙zemÌ shora neviditeln· (znaËka na konci);1 147 2 0.02 206 3.5;1 0 1 0.02 206 3.5;1 3 2 0.02 206 3.5;n;n;1;;;;HP, SBP, SOBR
20615;9;75;5;a;n;1.1.1998;Hranice kat.˙zemÌ shora neviditeln· (na obou koncÌch);1 147 2 0.02 206 3.5;1 0 1 0.02 206 3.5;1 3 2 0.02 206 3.5;n;n;1;;;;HP, SBP, SOBR
20620;9;76;0;a;n;1.1.1998;Hranice kat.˙zemÌ pohybliv·, nest·l· (bez znaËky);1 147 2 0.10;1 0 1 0.10;1 3 2 0.10;n;n;1;;;;HP, SBP, SOBR
20622;9;76;2;a;n;1.1.1998;Hranice kat.˙zemÌ pohybliv·, nest·l· (znaËka uprost¯ed);1 147 2 0.10 206;1 0 1 0.10 206;1 3 2 0.10 206;n;n;1;;;;HP, SBP, SOBR
20623;9;76;3;a;n;1.1.1998;Hranice kat.˙zemÌ pohybliv·, nest·l· (znaËka na zaË·tku);1 147 2 0.10 206 3.5;1 0 1 0.10 206 3.5;1 3 2 0.10 206 3.5;n;n;1;;;;HP, SBP, SOBR
20624;9;76;4;a;n;1.1.1998;Hranice kat.˙zemÌ pohybliv·, nest·l· (znaËka na konci);1 147 2 0.10 206 3.5;1 0 1 0.10 206 3.5;1 3 2 0.10 206 3.5;n;n;1;;;;HP, SBP, SOBR
20625;9;76;5;a;n;1.1.1998;Hranice kat.˙zemÌ pohybliv·, nest·l· (na obou koncÌch);1 147 2 0.10 206 3.5;1 0 1 0.10 206 3.5;1 3 2 0.10 206 3.5;n;n;1;;;;HP, SBP, SOBR
20630;9;77;0;a;n;1.1.1998;Hranice kat.˙zemÌ p¯evzat· (bez znaËky);1 147 2 0.12;1 0 1 0.12;1 3 2 0.12;n;n;1;;;;HP, SBP, SOBR
20632;9;77;2;a;n;1.1.1998;Hranice kat.˙zemÌ p¯evzat· (znaËka uprost¯ed);1 147 2 0.12 206;1 0 1 0.12 206;1 3 2 0.12 206;n;n;1;;;;HP, SBP, SOBR
20633;9;77;3;a;n;1.1.1998;Hranice kat.˙zemÌ p¯evzat· (znaËka na zaË·tku);1 147 2 0.12 206 3.5;1 0 1 0.12 206 3.5;1 3 2 0.12 206 3.5;n;n;1;;;;HP, SBP, SOBR
20634;9;77;4;a;n;1.1.1998;Hranice kat.˙zemÌ p¯evzat· (znaËka na konci);1 147 2 0.12 206 3.5;1 0 1 0.12 206 3.5;1 3 2 0.12 206 3.5;n;n;1;;;;HP, SBP, SOBR
20635;9;77;5;a;n;1.1.1998;Hranice kat.˙zemÌ p¯evzat· (na obou koncÌch);1 147 2 0.12 206 3.5;1 0 1 0.12 206 3.5;1 3 2 0.12 206 3.5;n;n;1;;;;HP, SBP, SOBR
20640;9;78;0;a;n;1.1.1998;Hranice kat.˙zemÌ sporn· (bez znaËky);1 147 2 0.13;1 0 1 0.13;1 3 2 0.13;n;n;1;;;;HP, SBP, SOBR
20642;9;78;2;a;n;1.1.1998;Hranice kat.˙zemÌ sporn· (znaËka uprost¯ed);1 147 2 0.13 206;1 0 1 0.13 206;1 3 2 0.13 206;n;n;1;;;;HP, SBP, SOBR
20643;9;78;3;a;n;1.1.1998;Hranice kat.˙zemÌ sporn· (znaËka na zaË·tku);1 147 2 0.13 206 3.5;1 0 1 0.13 206 3.5;1 3 2 0.13 206 3.5;n;n;1;;;;HP, SBP, SOBR
20644;9;78;4;a;n;1.1.1998;Hranice kat.˙zemÌ sporn· (znaËka na konci);1 147 2 0.13 206 3.5;1 0 1 0.13 206 3.5;1 3 2 0.13 206 3.5;n;n;1;;;;HP, SBP, SOBR
20645;9;78;5;a;n;1.1.1998;Hranice kat.˙zemÌ sporn· (na obou koncÌch);1 147 2 0.13 206 3.5;1 0 1 0.13 206 3.5;1 3 2 0.13 206 3.5;n;n;1;;;;HP, SBP, SOBR
20650;9;79;0;a;n;1.1.1998;Hranice kat.˙zemÌ podzemnÌ (bez znaËky);1 147 2 0.05;1 0 1 0.05;1 3 2 0.05;n;n;1;;;;HP, SBP, SOBR
20652;9;79;2;a;n;1.1.1998;Hranice kat.˙zemÌ podzemnÌ (znaËka uprost¯ed);1 147 2 0.05 206;1 0 1 0.05 206;1 3 2 0.05 206;n;n;1;;;;HP, SBP, SOBR
20653;9;79;3;a;n;1.1.1998;Hranice kat.˙zemÌ podzemnÌ  (znaËka na zaË·tku);1 147 2 0.05 206 3.5;1 0 1 0.05 206 3.5;1 3 2 0.05 206 3.5;n;n;1;;;;HP, SBP, SOBR
20654;9;79;4;a;n;1.1.1998;Hranice kat.˙zemÌ podzemnÌ  (znaËka na konci);1 147 2 0.05 206 3.5;1 0 1 0.05 206 3.5;1 3 2 0.05 206 3.5;n;n;1;;;;HP, SBP, SOBR
20655;9;79;5;a;n;1.1.1998;Hranice kat.˙zemÌ podzemnÌ (na obou koncÌch);1 147 2 0.05 206 3.5;1 0 1 0.05 206 3.5;1 3 2 0.05 206 3.5;n;n;1;;;;HP, SBP, SOBR
20500;10;80;0;a;n;1.1.1998;Hranice obce (bez znaËky);1 147 2 0;1 0 1 0;1 3 2 0;n;n;1;;;;HP, SBP, SOBR
20502;10;80;2;a;n;1.1.1998;Hranice obce (znaËka uprost¯ed);1 147 2 0 205;1 0 1 0 205;1 3 2 0 205;n;n;1;;;;HP, SBP, SOBR
20503;10;80;3;a;n;1.1.1998;Hranice obce (znaËka na zaË·tku);1 147 2 0 205 4.7;1 0 1 0 205 4.7;1 3 2 0 205 4.7;n;n;1;;;;HP, SBP, SOBR
20504;10;80;4;a;n;1.1.1998;Hranice obce (znaËka na konci);1 147 2 0 205 4.7;1 0 1 0 205 4.7;1 3 2 0 205 4.7;n;n;1;;;;HP, SBP, SOBR
20505;10;80;5;a;n;1.1.1998;Hranice obce (na obou koncÌch);1 147 2 0 205 4.7;1 0 1 0 205 4.7;1 3 2 0 205 4.7;n;n;1;;;;HP, SBP, SOBR
20510;10;81;0;a;n;1.1.1998;Hranice obce shora neviditeln· (bez znaËky);1 147 2 0.02;1 0 1 0.02;1 3 2 0.02;n;n;1;;;;HP, SBP, SOBR
20512;10;81;2;a;n;1.1.1998;Hranice obce shora neviditeln· (znaËka uprost¯ed);1 147 2 0.02 205;1 0 1 0.02 205;1 3 2 0.02 205;n;n;1;;;;HP, SBP, SOBR
20513;10;81;3;a;n;1.1.1998;Hranice obce shora neviditeln· (znaËka na zaË·tku);1 147 2 0.02 205 4.7;1 0 1 0.02 205 4.7;1 3 2 0.02 205 4.7;n;n;1;;;;HP, SBP, SOBR
20514;10;81;4;a;n;1.1.1998;Hranice obce shora neviditeln· (znaËka na konci);1 147 2 0.02 205 4.7;1 0 1 0.02 205 4.7;1 3 2 0.02 205 4.7;n;n;1;;;;HP, SBP, SOBR
20515;10;81;5;a;n;1.1.1998;Hranice obce shora neviditeln· (na obou koncÌch);1 147 2 0.02 205 4.7;1 0 1 0.02 205 4.7;1 3 2 0.02 205 4.7;n;n;1;;;;HP, SBP, SOBR
20520;10;82;0;a;n;1.1.1998;Hranice obce pohybliv·, nest·l· (bez znaËky);1 147 2 0.10;1 0 1 0.10;1 3 2 0.10;n;n;1;;;;HP, SBP, SOBR
20522;10;82;2;a;n;1.1.1998;Hranice obce pohybliv·, nest·l· (znaËka uprost¯ed);1 147 2 0.10 205;1 0 1 0.10 205;1 3 2 0.10 205;n;n;1;;;;HP, SBP, SOBR
20523;10;82;3;a;n;1.1.1998;Hranice obce pohybliv·, nest·l· (znaËka na zaË·tku);1 147 2 0.10 205 4.7;1 0 1 0.10 205 4.7;1 3 2 0.10 205 4.7;n;n;1;;;;HP, SBP, SOBR
20524;10;82;4;a;n;1.1.1998;Hranice obce pohybliv·, nest·l· (znaËka na konci);1 147 2 0.10 205 4.7;1 0 1 0.10 205 4.7;1 3 2 0.10 205 4.7;n;n;1;;;;HP, SBP, SOBR
20525;10;82;5;a;n;1.1.1998;Hranice obce pohybliv·, nest·l· (na obou koncÌch);1 147 2 0.10 205 4.7;1 0 1 0.10 205 4.7;1 3 2 0.10 205 4.7;n;n;1;;;;HP, SBP, SOBR
20530;10;83;0;a;n;1.1.1998;Hranice obce p¯evzat· (bez znaËky);1 147 2 0.12;1 0 1 0.12;1 3 2 0.12;n;n;1;;;;HP, SBP, SOBR
20532;10;83;2;a;n;1.1.1998;Hranice obce p¯evzat· (znaËka uprost¯ed);1 147 2 0.12 205;1 0 1 0.12 205;1 3 2 0.12 205;n;n;1;;;;HP, SBP, SOBR
20533;10;83;3;a;n;1.1.1998;Hranice obce p¯evzat· (znaËka na zaË·tku);1 147 2 0.12 205 4.7;1 0 1 0.12 205 4.7;1 3 2 0.12 205 4.7;n;n;1;;;;HP, SBP, SOBR
20534;10;83;4;a;n;1.1.1998;Hranice obce p¯evzat· (znaËka na konci);1 147 2 0.12 205 4.7;1 0 1 0.12 205 4.7;1 3 2 0.12 205 4.7;n;n;1;;;;HP, SBP, SOBR
20535;10;83;5;a;n;1.1.1998;Hranice obce p¯evzat· (na obou koncÌch);1 147 2 0.12 205 4.7;1 0 1 0.12 205 4.7;1 3 2 0.12 205 4.7;n;n;1;;;;HP, SBP, SOBR
20540;10;84;0;a;n;1.1.1998;Hranice obce sporn· (bez znaËky);1 147 2 5;1 0 1 5;1 3 2 5;n;n;1;;;;HP, SBP, SOBR
